model,n_runs,total_min_mean,total_min_std,env_step_pct,trainer_pct,steps_M_mean,steps_per_sec,onnx_kb
Snake Vector PPO,3,56.596099529444494,7.574132027440944,53.884235127869914,45.74127191601266,5.0,1497.1258522311066,276.7548828125
Snake Visual PPO,3,244.99431473944446,38.50836959509796,65.67837984062179,34.25276107498829,5.0,347.88844735889097,3967.4873046875
