model,n_seeds,R_inf,CV_final_pct,CV_mean_half_pct,CV_max_half_pct
Vector PPO,3,1047.5816279299572,4.831223177575623,9.933364998669314,17.0955218550165
Visual PPO (48x84),3,836.5731404833211,9.132236811654195,11.467144233080397,26.254541444063523
