model,n_seeds,R_inf,CV_final_pct,CV_mean_half_pct,CV_max_half_pct
Snake Vector PPO,3,39.61067210188957,1.8126683419210532,1.6656121510595763,2.88959545611627
Snake Visual PPO,3,0.7391412103968595,70.43484374708501,256.63928615352677,18215.769166456124
