model,n_seeds,R_inf_mean,R_inf_std,N90_mean,N90_std,AUC_mean,AUC_std
Snake Vector PPO,3,39.61147780191687,0.6795427657411048,1106666.6666666667,103387.0827951388,0.888060701750783,0.005699446160628021
Snake Visual PPO,3,0.7382068066424372,0.5202194896615835,4436666.666666667,115566.23882239811,0.5191687667904723,0.03666945997290976
