model,n_runs,total_min_mean,total_min_std,env_step_pct,trainer_pct,steps_M_mean,steps_per_sec,onnx_kb
Vector PPO,1,36.9515630266668,0.0,63.00127218769064,35.93785957156293,3.47,1565.1119626955106,269.7041015625
Visual PPO (48x84),3,175.66880558,0.43450455639257324,76.43665628060631,23.45715173443918,3.84,364.4173281848138,1726.48046875
