model,n_seeds,R_inf_mean,R_inf_std,N90_mean,N90_std,AUC_mean,AUC_std
Vector PPO,3,1048.0540991581267,43.78421664606366,3633333.3333333335,390924.82937544683,0.5477311599229749,0.007798344615020613
Visual PPO (48x84),3,827.9228891531108,92.72518267854534,3426666.6666666665,479536.8135561185,0.45935848345735825,0.03881593833617477
